name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,position
Marek Sokolowski,57.33,61.0,57.33,45.33,70.33,62.33,56.33,42.33,38.33,53.0,62.33,63.0,43.0,60.0,54.33,71.0,55.33,57.33,32.0,62.0,49.67,67.0,71.33,57.67,56.33,74.67,63.33,58.33,61.0,11.33,7.33,7.33,13.33,10.33,mid
Dariusz Kolodziej,58.5,65.5,51.5,42.5,60.5,50.5,56.5,48.5,61.5,63.5,58.5,53.0,34.0,65.0,53.5,70.0,80.5,81.0,57.0,59.0,64.5,68.5,41.5,62.5,58.5,65.5,40.5,42.5,40.5,10.5,11.5,8.5,11.5,6.5,mid
Anton Sloboda,62.0,60.5,56.5,49.5,68.5,44.5,64.5,50.5,34.5,66.5,63.5,71.0,72.0,65.0,54.5,71.0,65.5,61.0,60.0,58.0,55.5,43.5,49.0,55.5,66.5,54.5,51.5,52.5,51.5,6.5,8.5,10.5,6.5,9.5,mid
Damian Hops Chmiel,63.0,67.5,63.75,49.0,63.25,44.5,64.5,65.5,62.5,54.5,65.0,73.0,62.0,75.0,62.5,77.0,59.5,83.0,50.0,57.0,62.25,57.5,56.5,57.5,62.5,47.5,34.5,32.5,37.5,9.5,10.5,5.5,9.5,14.5,mid
Mateusz Mozdzen,64.5,63.5,61.5,42.5,64.5,69.5,63.0,63.5,67.5,63.5,63.5,73.0,76.0,76.0,70.5,70.0,70.0,71.0,82.0,63.0,66.5,78.5,40.5,61.5,65.5,52.5,66.0,68.5,70.0,13.5,15.5,11.5,15.5,8.5,mid
Jakub Kowalski,58.0,62.0,52.0,43.0,57.0,66.0,54.0,43.0,44.0,58.0,58.0,72.0,81.0,80.0,40.0,74.0,57.0,33.0,74.0,44.0,43.0,45.0,19.0,45.0,49.0,61.0,32.0,23.0,22.0,14.0,7.0,15.0,15.0,14.0,mid
Frank Adu Kwame,61.0,58.25,44.25,52.25,55.25,26.25,67.25,39.25,29.25,55.25,62.25,89.0,93.0,61.0,52.25,71.0,42.25,66.0,69.0,73.0,31.25,53.25,56.25,53.25,39.25,35.25,56.0,61.75,60.0,6.25,11.25,10.25,7.25,14.25,mid
Adam Deja,60.33,47.33,38.67,50.67,66.33,42.67,63.0,34.67,39.67,63.33,65.33,61.0,66.0,54.0,62.67,54.0,58.67,62.0,74.0,78.0,39.67,55.67,49.0,52.67,56.67,44.67,51.67,54.67,53.67,10.67,10.67,13.67,13.67,5.67,mid
Kohei Kato,64.0,49.0,48.0,50.0,67.0,41.0,51.0,46.0,41.0,59.0,59.0,80.0,84.0,83.0,70.0,77.0,46.0,54.0,64.0,46.0,49.0,76.0,70.0,39.0,49.0,42.0,64.0,64.0,70.0,6.0,12.0,6.0,13.0,14.0,mid
Celestine Lazarus,52.0,41.0,28.0,45.0,55.0,32.0,45.0,35.0,34.0,50.0,52.0,54.0,55.0,57.0,53.0,51.0,45.0,60.0,47.0,71.0,29.0,62.0,49.0,35.0,41.0,48.0,44.0,52.0,52.0,11.0,11.0,11.0,13.0,12.0,mid
