name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,position
Eugen Polanski,76.6,66.4,60.4,66.4,76.0,69.8,64.4,73.4,70.4,72.2,73.4,64.0,63.0,64.0,78.0,64.6,78.4,74.4,79.0,77.2,78.6,87.4,80.2,65.8,68.4,78.4,73.4,79.4,76.0,7.4,11.4,5.4,11.4,7.4,mid
Tarik Elyounoussi,74.33,71.67,71.67,67.67,68.67,69.67,81.67,57.67,68.67,46.67,76.67,83.67,84.83,91.0,74.0,89.67,74.67,78.0,78.5,44.0,73.33,42.67,35.67,73.0,70.67,64.67,42.67,32.67,27.67,14.67,7.67,8.67,13.67,6.67,mid
Pirmin Schwegler,77.0,70.33,60.33,67.33,82.33,64.33,75.33,59.33,73.33,80.33,78.67,66.33,67.0,74.0,78.0,74.67,76.33,82.0,77.0,66.0,78.33,69.33,79.67,67.33,78.0,65.33,72.33,75.33,73.33,11.33,15.33,14.33,6.33,5.33,mid
Jiloan Hamad,71.0,63.33,56.33,21.33,74.33,65.33,69.33,61.33,65.33,60.33,76.33,74.0,66.0,88.0,73.33,90.33,66.33,71.67,78.67,58.0,68.33,55.33,45.33,72.33,76.33,62.33,29.33,46.33,42.33,9.33,13.33,10.33,10.33,5.33,mid
Sebastian Rudy,77.0,69.0,63.0,58.0,78.67,66.0,78.0,78.0,76.0,77.67,79.0,74.0,68.0,79.0,80.0,73.0,71.0,65.0,78.0,64.0,74.0,58.0,76.0,70.0,79.0,71.0,63.0,69.0,69.0,13.0,8.0,13.0,12.0,10.0,mid
Steven Zuber,72.33,65.33,62.33,57.33,69.33,56.33,74.67,77.33,65.33,60.33,75.33,78.0,82.33,78.33,68.67,59.67,76.67,61.0,78.0,77.0,80.33,61.67,57.33,74.67,71.33,54.33,48.33,58.33,33.33,14.33,14.33,6.33,13.33,8.33,mid
Fabian Schaer,76.1,61.9,64.2,83.4,74.3,50.9,62.3,61.1,65.2,81.5,63.3,76.3,78.2,70.5,71.0,69.4,80.0,82.9,79.3,89.1,64.2,71.3,73.6,60.3,68.7,81.5,69.2,78.0,75.0,7.3,8.3,10.3,9.3,14.3,mid
Pavel Kaderabek,71.25,75.5,55.5,61.5,70.5,56.5,72.0,37.5,51.5,68.5,73.5,74.5,77.5,61.5,73.5,66.0,65.5,64.0,72.5,76.5,56.5,71.0,63.0,49.5,59.5,53.5,73.25,71.75,70.25,9.5,10.5,13.5,12.5,6.5,mid
Tobias Strobl,72.67,50.33,29.33,72.33,71.33,31.33,57.67,52.33,38.33,66.33,67.33,60.0,68.0,64.0,70.33,58.0,78.33,71.33,76.0,79.0,71.33,83.33,71.67,37.33,50.33,44.33,68.0,76.0,71.0,10.33,7.33,7.33,15.33,11.33,mid
Nadiem Amiri,59.67,54.56,51.56,38.33,64.22,48.78,64.33,54.89,51.56,56.33,63.11,67.11,66.11,70.33,55.78,72.78,56.22,64.33,51.56,48.78,50.78,37.33,50.11,53.22,58.78,51.89,32.67,42.11,33.67,11.33,11.33,13.33,11.33,9.33,mid
Philipp Ochs,60.0,61.0,59.0,42.0,63.0,53.0,62.0,56.0,41.0,51.0,64.0,77.0,67.0,78.0,50.0,80.0,63.0,68.0,48.0,48.0,52.0,37.0,23.0,53.0,48.0,63.0,17.0,22.0,20.0,9.0,10.0,6.0,11.0,13.0,mid
