name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,position
Adrian Gonzalez,73.0,70.0,62.0,48.0,78.0,51.0,72.0,81.0,72.0,73.0,81.0,65.33,67.33,68.33,75.0,67.0,58.0,54.0,70.0,64.0,64.0,67.0,64.0,62.0,71.0,71.0,53.0,66.0,55.0,6.0,15.0,12.0,6.0,7.0,mid
Takashi Inui,73.75,67.75,60.25,43.0,73.75,56.25,81.75,68.75,64.75,61.5,82.0,86.0,75.75,95.0,67.75,91.75,56.0,62.25,72.25,31.5,66.0,34.75,31.75,64.5,73.75,50.75,25.75,21.25,22.25,10.75,11.75,10.75,14.75,7.75,mid
Keko,67.8,65.2,55.6,39.4,62.6,54.6,73.4,62.6,54.4,57.6,73.2,81.2,74.8,79.8,62.8,78.8,57.8,65.0,65.4,55.4,51.8,53.4,37.2,61.0,65.8,52.4,23.4,34.4,32.4,14.4,11.4,7.4,8.4,6.4,mid
Izet Hajrovic,73.89,72.11,69.44,44.33,70.0,71.44,81.67,79.78,81.78,70.0,77.78,79.0,81.33,78.33,66.0,77.0,86.22,77.67,67.44,60.0,77.11,52.22,47.33,72.33,73.89,75.22,40.33,40.33,37.33,10.33,10.33,10.33,8.33,6.33,mid
Simone Verdi,71.71,65.71,63.71,40.57,72.0,62.57,77.43,65.71,54.29,62.57,77.43,88.14,81.86,91.86,66.86,92.0,65.43,46.86,70.14,37.29,65.43,48.29,30.29,70.29,64.86,52.14,23.29,29.14,27.86,11.29,9.29,6.29,14.29,8.29,mid
Saul Berjon,73.88,75.5,69.0,49.0,75.75,68.0,78.5,72.5,68.62,69.5,78.0,81.62,79.62,71.62,66.25,62.0,78.0,78.0,62.0,78.5,76.5,60.5,41.5,74.0,65.5,75.5,25.5,32.0,23.25,14.5,10.5,7.5,7.5,10.5,mid
Jota,67.8,54.4,68.4,42.4,71.4,39.4,73.4,63.4,68.4,69.4,77.4,70.6,66.6,77.0,66.4,70.0,67.4,59.0,62.8,58.0,66.2,48.4,28.4,61.6,65.4,54.0,20.6,25.4,21.4,13.4,13.4,12.4,5.4,7.4,mid
Eddy Israfilov,68.33,48.33,50.67,53.67,69.67,44.67,71.0,53.67,50.67,59.0,76.33,68.0,69.33,75.67,66.33,59.0,78.0,74.0,78.0,79.67,64.33,81.33,67.67,54.67,73.0,46.67,55.67,64.67,69.33,13.67,9.67,13.67,8.67,5.67,mid
Dani Garcia,73.67,52.67,48.67,45.67,80.0,36.67,61.0,60.67,56.67,77.67,77.33,55.0,54.33,67.67,67.33,66.0,65.0,61.0,75.33,73.33,53.67,76.67,73.0,58.33,71.33,57.67,63.67,73.67,68.67,5.67,13.67,13.67,5.67,10.67,mid
Gonzalo Escalante,65.67,54.33,50.67,43.56,67.89,58.56,64.33,62.56,51.56,58.33,66.89,69.0,69.67,64.0,67.22,65.0,61.0,55.56,76.56,67.33,55.33,75.44,68.33,56.0,57.22,63.56,59.0,67.78,63.0,9.56,11.56,6.56,11.56,10.56,mid
