name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,position
Morgaro Gomis,64.0,60.0,53.0,55.0,70.0,34.0,68.0,58.0,52.0,64.0,67.0,74.0,76.0,76.0,68.0,84.0,70.0,70.0,81.0,78.0,67.0,79.0,66.0,42.0,49.0,57.0,69.0,75.0,67.0,10.0,16.0,12.0,6.0,9.0,mid
Lionel Ainsworth,68.2,64.8,59.8,30.2,66.6,62.0,68.0,62.8,44.8,57.8,67.2,91.0,90.8,81.6,64.8,90.8,71.4,58.0,71.6,33.0,59.6,35.8,24.8,60.2,62.8,61.2,20.2,22.8,17.0,9.8,7.8,13.8,11.8,11.8,mid
Keith Lasley,67.0,61.0,39.2,59.4,71.6,23.2,64.0,55.2,56.2,67.2,66.4,59.6,60.6,71.8,72.2,71.6,63.0,90.0,66.6,59.0,64.2,84.0,68.8,58.2,67.6,36.2,62.8,64.0,62.2,8.2,8.2,7.2,13.2,8.2,mid
Stephen Pearson,63.5,62.5,51.5,52.5,66.0,60.5,61.5,61.5,55.5,63.5,64.5,67.0,71.0,70.0,68.5,55.25,67.5,47.0,72.0,65.5,48.5,75.5,61.5,60.5,67.5,46.5,50.5,55.5,49.5,9.5,14.5,6.5,5.5,13.5,mid
Jake Taylor,63.8,59.6,52.6,54.6,64.6,53.6,63.6,60.6,59.6,59.6,66.6,75.0,70.2,80.0,63.6,74.0,58.6,55.2,76.0,53.6,51.6,49.6,48.6,60.6,62.6,53.6,51.6,49.6,43.6,11.6,11.6,13.6,15.6,13.6,mid
Marvin Johnson,60.5,56.5,46.25,43.25,57.5,52.25,61.0,47.5,46.5,48.75,60.0,81.0,83.75,79.25,56.25,70.5,56.75,60.0,75.5,55.25,43.75,30.25,33.25,52.5,54.25,52.25,40.5,41.5,37.75,13.25,13.25,10.25,9.25,6.25,mid
Jack Leitch,57.75,46.75,48.75,41.75,66.5,39.75,58.75,45.75,45.75,61.0,62.75,74.0,70.0,57.0,53.75,80.0,58.75,54.5,70.5,40.0,44.75,41.75,32.75,47.75,56.75,49.75,47.75,55.75,51.75,6.75,9.75,11.75,13.75,10.75,mid
Dominic Thomas,54.33,49.33,46.33,44.33,61.33,49.33,56.33,45.33,42.33,56.33,54.33,63.0,64.0,71.0,52.33,82.0,54.33,52.0,57.0,40.0,40.33,49.33,48.33,48.33,54.33,44.33,42.33,50.33,51.33,9.33,6.33,9.33,6.33,13.33,mid
Christopher Cadden,53.0,40.0,36.0,52.0,62.0,40.0,50.0,39.0,44.0,54.0,55.0,62.0,63.0,70.0,53.0,70.0,56.0,58.0,59.0,41.0,44.0,55.0,44.0,52.0,51.0,40.0,44.0,47.0,46.0,13.0,13.0,12.0,8.0,10.0,mid
Liam Grimshaw,47.0,33.0,32.0,42.0,52.0,27.0,41.0,33.0,37.0,42.0,45.0,63.0,54.0,58.0,54.0,65.0,50.5,63.0,55.0,59.0,33.0,66.0,42.0,35.0,43.0,44.0,42.0,49.0,49.0,13.0,8.0,15.0,12.0,11.0,mid
