name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,position
Kieran Richardson,73.0,73.67,64.67,53.67,74.0,73.67,75.67,69.67,74.0,70.67,74.67,79.0,75.67,77.0,73.67,78.0,86.67,64.0,75.0,66.0,73.67,73.67,73.33,63.67,73.67,63.67,73.67,72.0,71.67,5.67,8.67,9.67,12.67,6.67,mid
Alan Hutton,72.6,67.6,39.4,60.4,61.6,42.6,67.4,63.6,52.6,67.6,68.6,69.6,71.4,61.6,67.6,62.0,58.6,72.0,85.0,79.0,46.6,87.0,73.4,65.6,56.6,49.4,74.4,76.8,77.4,11.6,8.6,14.6,14.6,7.6,mid
Carlos Sanchez,76.14,59.43,46.43,69.43,77.14,42.43,69.43,51.43,57.43,77.14,75.43,64.29,67.0,62.0,73.57,53.0,71.43,75.0,87.57,88.43,72.43,80.14,77.14,56.43,66.86,62.0,64.43,80.43,64.86,10.43,5.43,6.43,12.43,6.43,mid
Idrissa Gana Gueye,75.25,58.75,44.75,65.25,77.75,30.75,72.75,32.75,42.75,72.75,76.25,73.25,68.75,74.5,78.75,80.0,80.25,76.0,85.5,70.75,74.75,79.75,81.75,65.5,71.0,54.0,75.75,78.75,74.75,7.75,5.75,7.75,11.75,12.75,mid
Ashley R. Westwood,73.67,78.67,44.67,43.33,82.33,47.67,58.0,66.0,74.67,79.67,78.33,69.67,65.33,70.67,79.0,79.0,59.67,62.67,79.0,62.0,56.33,48.33,71.33,54.33,81.0,58.0,62.67,66.0,62.67,9.67,12.67,12.67,6.67,7.67,mid
Leandro Bacuna,71.5,75.25,66.5,62.5,72.5,70.5,73.25,76.25,78.0,70.5,73.5,79.5,79.25,72.5,72.5,64.0,83.0,69.75,85.0,76.75,68.5,71.5,62.5,64.5,68.5,75.5,69.0,70.0,67.75,14.5,7.5,13.5,15.5,14.5,mid
Jordan Veretout,76.0,61.75,73.25,52.25,80.5,69.25,73.25,68.25,72.25,78.25,80.0,71.0,65.0,69.5,75.0,69.75,76.25,56.0,79.25,70.25,75.5,64.25,70.0,69.5,74.0,76.25,62.25,73.25,62.25,8.25,9.25,10.25,7.25,8.25,mid
Jack Grealish,71.25,67.75,58.88,31.62,75.75,58.62,78.88,68.88,57.88,60.75,76.62,79.0,77.38,77.5,55.75,81.0,52.62,34.75,67.5,45.25,48.5,41.62,34.0,66.25,72.0,58.62,25.38,28.88,26.88,10.62,5.62,10.62,9.62,12.62,mid
Carles Gil,74.0,64.6,61.6,33.6,79.8,70.6,82.6,66.6,57.6,74.6,82.6,70.2,68.6,75.0,66.6,75.0,62.6,60.0,66.0,55.2,67.4,40.6,39.6,72.8,76.6,72.0,35.6,41.8,37.8,11.6,14.6,15.6,8.6,5.6,mid
Kevin Toner,57.0,31.0,29.0,54.0,42.0,29.0,33.0,36.0,38.0,33.0,40.0,49.0,40.0,44.0,52.0,55.0,49.0,57.0,57.0,63.0,31.0,57.0,55.0,27.0,36.0,40.0,60.0,62.0,62.0,12.0,14.0,12.0,10.0,10.0,mid
Jordan Lyden,55.0,48.0,44.0,61.0,60.0,43.0,59.0,45.0,48.0,56.0,57.0,56.0,62.0,51.0,55.0,59.0,57.0,63.0,62.0,57.0,45.0,60.0,47.0,55.0,50.0,50.0,50.0,52.0,61.0,11.0,10.0,14.0,7.0,11.0,mid
